
"22 February, 2020",San Diego,listings.csv.gz,Detailed Listings data for San Diego
"22 February, 2020",San Diego,calendar.csv.gz,Detailed Calendar Data for listings in San Diego
"22 February, 2020",San Diego,reviews.csv.gz,Detailed Review Data for listings in San Diego
"22 February, 2020",San Diego,listings.csv,Summary information and metrics for listings in San Diego (good for visualisations).
"22 February, 2020",San Diego, reviews.csv,Summary Review data and Listing ID (to facilitate time based analytics and visualisations linked to a listing).
N/A,San Diego,neighbourhoods.csv,Neighbourhood list for geo filter. Sourced from city or open source GIS files.
N/A,San Diego,neighbourhoods.geojson,GeoJSON file of neighbourhoods of the city.
"15 January, 2020",San Diego,listings.csv.gz,Detailed Listings data for San Diego
"15 January, 2020",San Diego,calendar.csv.gz,Detailed Calendar Data for listings in San Diego
"15 January, 2020",San Diego,reviews.csv.gz,Detailed Review Data for listings in San Diego
"15 January, 2020",San Diego,listings.csv,Summary information and metrics for listings in San Diego (good for visualisations).
"15 January, 2020",San Diego, reviews.csv,Summary Review data and Listing ID (to facilitate time based analytics and visualisations linked to a listing).
N/A,San Diego,neighbourhoods.csv,Neighbourhood list for geo filter. Sourced from city or open source GIS files.
N/A,San Diego,neighbourhoods.geojson,GeoJSON file of neighbourhoods of the city.
"15 December, 2019",San Diego,listings.csv.gz,Detailed Listings data for San Diego
"15 December, 2019",San Diego,calendar.csv.gz,Detailed Calendar Data for listings in San Diego
"15 December, 2019",San Diego,reviews.csv.gz,Detailed Review Data for listings in San Diego
"15 December, 2019",San Diego,listings.csv,Summary information and metrics for listings in San Diego (good for visualisations).
"15 December, 2019",San Diego, reviews.csv,Summary Review data and Listing ID (to facilitate time based analytics and visualisations linked to a listing).
N/A,San Diego,neighbourhoods.csv,Neighbourhood list for geo filter. Sourced from city or open source GIS files.
N/A,San Diego,neighbourhoods.geojson,GeoJSON file of neighbourhoods of the city.
"21 November, 2019",San Diego,listings.csv.gz,Detailed Listings data for San Diego
"21 November, 2019",San Diego,calendar.csv.gz,Detailed Calendar Data for listings in San Diego
"21 November, 2019",San Diego,reviews.csv.gz,Detailed Review Data for listings in San Diego
"21 November, 2019",San Diego,listings.csv,Summary information and metrics for listings in San Diego (good for visualisations).
"21 November, 2019",San Diego, reviews.csv,Summary Review data and Listing ID (to facilitate time based analytics and visualisations linked to a listing).
N/A,San Diego,neighbourhoods.csv,Neighbourhood list for geo filter. Sourced from city or open source GIS files.
N/A,San Diego,neighbourhoods.geojson,GeoJSON file of neighbourhoods of the city.
"18 October, 2019",San Diego,listings.csv.gz,Detailed Listings data for San Diego
"18 October, 2019",San Diego,calendar.csv.gz,Detailed Calendar Data for listings in San Diego
"18 October, 2019",San Diego,reviews.csv.gz,Detailed Review Data for listings in San Diego
"18 October, 2019",San Diego,listings.csv,Summary information and metrics for listings in San Diego (good for visualisations).
"18 October, 2019",San Diego, reviews.csv,Summary Review data and Listing ID (to facilitate time based analytics and visualisations linked to a listing).
N/A,San Diego,neighbourhoods.csv,Neighbourhood list for geo filter. Sourced from city or open source GIS files.
N/A,San Diego,neighbourhoods.geojson,GeoJSON file of neighbourhoods of the city.
"22 September, 2019",San Diego,listings.csv.gz,Detailed Listings data for San Diego
"22 September, 2019",San Diego,calendar.csv.gz,Detailed Calendar Data for listings in San Diego
"22 September, 2019",San Diego,reviews.csv.gz,Detailed Review Data for listings in San Diego
"22 September, 2019",San Diego,listings.csv,Summary information and metrics for listings in San Diego (good for visualisations).
"22 September, 2019",San Diego, reviews.csv,Summary Review data and Listing ID (to facilitate time based analytics and visualisations linked to a listing).
